,Shopname,Average Price,Address,Tel,Tags,Taste,Environment,Service,Remark
218,KOI Cafe(水坑尾街店),20,地址:水坑尾街125-127號，銀輝大廈地下H座,              +853-28322740,奶茶/果汁,8.7,8.8,8.7,104
219,奇华饼家(威尼斯人店),41,地址:凼仔金光大道威尼斯人酒店大运河购物中心3楼脸谱街312号,              28828521,面包甜点,8.6,8.3,8.3,197
220,冯记三盏灯猪脚姜,31,地址:飞能便度街街市熟食档,              66868695,小吃快餐,7.5,6.9,7.6,141
221,左麟右李,135,地址:澳门新濠天地二楼．苏濠,              +853-88686688,粤菜,7.8,8.4,8.1,128
222,協成海鮮火鍋(皇朝店),953,地址:皇朝羅馬街22號東南亞商業中心地下,              +853-28755979,火锅,9,8.8,9,86
223,風味居,373,地址:澳门友谊大马路 星际酒店5楼,              +853-82908668,川菜,8.5,9,8.9,132
224,翠華餐廳(百老匯店),75,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G009-G015,              +853-88831828,茶餐厅,8.5,8.8,8.3,127
225,盛记白粥(新马路店),21,地址:天通街14号雅致大厦地下,              +853-28323471,小吃快餐,8.1,7.6,7.6,786
226,桃花源小厨,381,地址:南湾葡京路2-4号葡京酒店东翼大堂,              +853-88033682,粤菜,8.7,8.9,9,103
228,台湾帝钧碳烤胡椒饼,17,地址:新马路大炮台街1C号,              28362363,小吃快餐,7.9,7.1,7.4,410
230,杏香园雪糕甜品屋(清平店),41,地址:清平直街13号,              +853-28572701,面包甜点,8.8,7.8,8.2,309
231,安德鲁花园咖啡,63,地址:路环市区打缆街105号地下,              +853-28881851,咖啡厅,8.6,8.7,8.6,379
232,永吉街老字号柠檬王,152,地址:连胜街1-D号的丽豪花园第二座的平台上Da铺,              66881786,小吃快餐,8.8,7.6,8.8,65
233,氹仔茶餐厅,50,地址:地堡街253号,              28827668,茶餐厅,8.1,7.6,8,71
234,祥记面家(福隆新街店),52,地址:新马路福隆新街68号地铺,              +853-28574310,小吃快餐,7.5,6.9,7.3,893
235,Pierre Hermé Paris(新濠影汇店...,223,地址:新濠影汇购物大道一楼1081店,              +853-88653450,面包甜点,8.8,8.8,8.5,90
236,添好运,77,地址:威尼斯人大運河購物中心美食街內,              ,小吃快餐,7.6,6.9,7.2,48
237,新口岸葡国餐(中裕大厦店),165,地址:新口岸宋玉生广场606H-606G中裕大厦L层,              +853-28703898,西餐,8.4,8.4,8.1,661
238,沙利文餐厅,192,地址:南湾大马路512号,              28881881,西餐,7.5,7.9,7.7,618
239,金悅軒海鮮火鍋酒家(富澤園店),585,地址:宋玉生廣場699至707號富澤園大廈A-D室地下,              +853-28282862,粤菜,9.1,8.6,9.1,85
240,雅憩花园餐厅,180,地址:澳门路环计单奴街8号,              +853-28882086,茶餐厅,8.9,8,8.6,162
241,好彩海鲜火锅饭店,784,地址:贾罗布大马路102号,              +853-28786883,海鲜,8.8,8.1,8.3,164
242,碧涛意国渔乡,431,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1039号,              +853-81189950,西餐,8.1,8.8,8.7,75
243,江户日本料理(金沙城中心店),905,地址:路凼金沙城中心金沙广场1027铺,              +853-28852918,日本料理,8.9,8.6,8.9,120
244,勤记糖水,14,地址:沙梨头海边街,              ,小吃快餐,8.4,7,8,33
245,江户日本料理(威尼斯人店),945,地址:望德圣母湾大马路威尼斯人购物中心3楼贡多拉街110号铺,              ,日本料理,9,8.8,8.6,194
246,魔女雪花冰(富豪店),88,地址:澳門羅理基博士大馬路70-106富豪酒店大堂,              +853-28781112,咖啡厅,7,7.2,7.3,15
248,KIKA熙佳日式手工雪糕(大堂巷店),32,地址:大堂巷11A号福运大厦地下B座,              +853-28920957,冰淇淋,9,8.6,9,228
249,大堂街炸鸡(大堂街店),47,地址:大堂街14号A-B地下,              +853-28338112,小吃快餐,8.2,7.8,7.5,410
250,陈记深井烧鹅(新濠天地店),183,地址:澳門新濠天地2樓,              +853-28898675,粤菜,7.6,7.5,7.5,99
251,芝士工坊(官也街),17,地址:氹仔地堡街喜来登广场地下K铺,              66308430,面包甜点,7.8,7.7,8.2,82
252,传统老澳门猪扒包(威尼斯人店),65,地址:澳门威尼斯人大运河美食广场2505A号铺,              +853-28866819,小吃快餐,6.9,6.7,6.4,1228
253,恒友鱼蛋(大堂店),41,地址:大堂巷12号C铺,              66508211,小吃快餐,8,6,7.1,1548
254,葡国餐厅,457,地址:南湾葡京路2-4号葡京酒店西座3楼,              +853-88037676,西餐,8.2,8.6,8.9,49
255,晃记饼家,51,地址:凼仔官也街14号,              +853-28827142,面包甜点,8,7.2,7.4,703
256,Pierre Hermé Lounge,189,地址:路氹城新濠天地摩珀斯酒店大堂,              ,面包甜点,8.4,8.4,8.4,25
257,新濠影汇大排档,110,地址:新濠影汇2楼,              ,茶餐厅,7.3,7.1,7,88
258,小岛葡国餐厅(威尼斯人店),284,地址:路氹城金光大道望德圣母湾大马路澳门威尼斯人度假村酒店大运河购物中心繁盛街746号铺,              +853-28963399,西餐,7.8,8.3,8,440
259,帝王点心,137,地址:金光大道望德圣母湾大马路澳门威尼斯人度假村酒店娱乐场1042号铺,              +853-81189910,粤菜,7.9,8.3,7.6,693
260,新鸿发咖啡美食,36,地址:高士德贾伯乐提督街55号A,              +853-28530452,小吃快餐,8.3,7.5,8.1,187
261,黑沙公园葡国餐厅,117,地址:黑沙海滩黑沙公园内,              +853-28882297,西餐,8.3,8.3,8,107
262,陈光记饭店,58,地址:澳门特别行政区嘉模堂區氹仔成都街519號濠景花園第29、31座地下C,              28830140,粤菜,8.4,7.1,7.4,48
263,Passion. by Gérard Dubois,68,地址:澳門銀河地下，G051,              +853-88832221,西餐,8.9,8.7,8.3,215
265,海王老记粥面菜馆(威尼斯人店),236,地址:威尼斯人度假村1楼1032号,              +853-28828333,粤菜,7.9,8.2,7.9,352
266,千笹日本料理,471,地址:花城区南京街17号花城利茂大厦地铺,              28835113,日本料理,9,9,9,87
267,金悅軒海鮮城(漁人碼頭店),465,地址:漁人碼頭新奧爾良I棟,              +853-28725599,海鲜,9,9,9,69
268,Hide Yamamoto,510,地址:新濠影汇购物大道一楼1091店,              +853-88653300,日本料理,9.1,9.1,9.1,72
269,咀香园饼家(大三巴店),53,地址:大三巴右街1号AB铺,              +853-28352680,面包甜点,7.8,7.3,7.4,785
270,麦当劳(澳门金沙城中心店),49,地址:连贯公路金沙城中心1楼地面大堂,              +853-28852901,小吃快餐,8,8.1,7.9,106
271,瑞吉酒吧,139,地址:路氹城金沙城中心瑞吉酒店1楼,              +853-81133700,酒吧,8.4,8.8,8.8,41
272,番茄屋葡式美食(大三巴店),84,地址:大炮台街喜運大廈地下3E,              +853-28362171,西餐,8.1,8,8.2,22
273,骑师日本料理,315,地址:氹仔基馬拉斯大馬路116-122號至尊花城D舖,              +853-28821862,日本料理,8.1,7.6,7.1,44
274,锦华牛杂,35,地址:大堂巷4-A号,              +853-66383517,小吃快餐,8.1,7.1,7.6,513
275,DEAN & DELUCA Café,53,地址:澳門銀河地下，G107,              +853-88832221,面包甜点,7.4,8.1,7.8,87
276,北方馆(澳门金沙城中心店),133,地址:澳门路氹金光大道连贯公路澳门金沙城中心地面大堂,              +853-81138951,中餐,8.3,8.8,8,135
277,娇比(新濠天地店),747,地址:凼城新濠天地新濠大道2楼2105-02室,              28286696,酒吧,7.5,8.1,7.5,89
278,谭家鱼翅(茵景园店),326,地址:茵景园B1楼J铺,              +853-28827840,海鲜,8.1,6.1,5.8,205
279,青洲灶记咖啡,49,地址:氹仔旧城区巴波沙总督街18号地铺,              +853-28576128,咖啡厅,8,7.7,7.7,341
280,金利食店(氹仔店),34,地址:基马拉斯大马路帝庭轩地下,              +853-28841029,面条,8.1,7.2,7.5,43
283,咖喱荣(福隆新街店),41,"地址:新馬路新填巷6號C鋪(近福隆新街)(靠近福隆新街,順德公飯店)",              28355642,小吃快餐,8.2,7.6,7.9,68
284,陳勝記,255,地址:路環市區計單奴街21號,              +853-28882021,粤菜,7.8,6.9,7.6,165
285,亚坤咖椰吐司(东方斜巷店),49,地址:澳门东方斜巷17B地下,              +853-68815393,面包甜点,8.5,8.2,8.3,426
286,新八佰伴美食广场,70,地址:商业大马路A区域1地段,              +853-28725338,小吃快餐,7.9,7.8,7.8,383
287,不夜天Café,135,地址:贾罗布大马路旧葡京酒店1楼,              +853-88033140,自助餐,8.6,8.9,8.8,99
288,大龙凤茶楼,68,地址:十月初五街127号,              +853-28922459,茶餐厅,7.5,6.9,7.3,271
290,麗思咖啡廳(丽思卡尔顿酒店店),269,地址:澳門路氹城澳門銀河綜合渡假城，澳門麗思卡爾頓酒店地下,              +853-88866712,法国菜,8.8,9.2,9.1,141
292,水佬荣饭店,194,地址:中国澳门氹仔飞能便度街657至677号华南工业大厦第六座BR/C地下B度,              +853-28234240,粤菜,8,7,7.7,116
294,恒友,30,地址:氹仔官也街8號地下,              ,小吃快餐,7.8,7,7.3,178
295,澳门陆军俱乐部餐厅,206,地址:南湾大马路975号陆军俱乐部内,              +853-28714010,西餐,7.9,8.6,8.4,65
297,梓记牛什,36,地址:新马路营地街市综合大楼3楼3255号,              +853-28374091,小吃快餐,8,6.2,7.4,179
298,大利来记餐厅,51,地址:凼仔旧城区木铎街42号地下,              ,小吃快餐,7.6,7,7.3,87
299,荣记豆腐面食(果栏街店),22,地址:新马路果栏街47号地下,              28921152,小吃快餐,8.2,7.3,7.9,248
