Shopname,Average Price,Address,Tel,Tags
骑师日本料理,¥315,地址:氹仔基馬拉斯大馬路116-122號至尊花城D舖,              +853-28821862,日本料理
金悅軒海鮮火鍋酒家(富澤園店),¥597,地址:宋玉生廣場699至707號富澤園大廈A-D室地下,              +853-28282862,粤菜
亚坤咖椰吐司(东方斜巷店),¥48,地址:澳门东方斜巷17B地下,              +853-68815393,面包甜点
娇比(新濠天地店),¥747,地址:凼城新濠天地新濠大道2楼2105-02室,              28286696,酒吧
不夜天Café,¥141,地址:贾罗布大马路旧葡京酒店1楼,              +853-88033140,自助餐
陈光记饭店,¥58,地址:澳门特别行政区嘉模堂區氹仔成都街519號濠景花園第29、31座地下C,              28830140,粤菜
青洲灶记咖啡,¥49,地址:氹仔旧城区巴波沙总督街18号地铺,              +853-28576128,咖啡厅
金利食店(氹仔店),¥34,地址:基马拉斯大马路帝庭轩地下,              +853-28841029,面条
Passion. by Gérard Dubois,¥68,地址:澳門銀河地下，G051,              +853-88832221,西餐
帝王点心,¥137,地址:金光大道望德圣母湾大马路澳门威尼斯人度假村酒店娱乐场1042号铺,              +853-81189910,粤菜
咀香园饼家(大三巴店),¥53,地址:大三巴右街1号AB铺,              +853-28352680,面包甜点
伙牛越南料理,"
        -",地址:美的路主教街13C號嘉倫大廈A,              +853-28523000,东南亚菜
谭家鱼翅(茵景园店),¥350,地址:茵景园B1楼J铺,              +853-28827840,海鲜
麗思咖啡廳(丽思卡尔顿酒店店),¥269,地址:澳門路氹城澳門銀河綜合渡假城，澳門麗思卡爾頓酒店地下,              +853-88866712,法国菜
北方馆(澳门金沙城中心店),¥136,地址:澳门路氹金光大道连贯公路澳门金沙城中心地面大堂,              +853-81138951,中餐
锦华牛杂,¥36,地址:大堂巷4-A号,              +853-66383517,小吃快餐
麦当劳(澳门金沙城中心店),¥46,地址:连贯公路金沙城中心1楼地面大堂,              +853-28852901,小吃快餐
MUGS 尚酒館,¥141,地址:飛勒前地10號A地下,              +853-28973022,酒吧
99面(永利皇宫店),¥106,地址:路氹体育馆大马路永利皇宫地面层,              +853-88893678,中餐
黑沙公园葡国餐厅,¥114,地址:黑沙海滩黑沙公园内,              +853-28882297,西餐
传统老澳门猪扒包(威尼斯人店),¥65,地址:澳门威尼斯人大运河美食广场2505A号铺,              +853-28866819,小吃快餐
施恩咖啡,"
        -",地址:大堂巷13号B附近,              +853-63320328,咖啡厅
海王老记粥面菜馆(威尼斯人店),¥236,地址:威尼斯人度假村1楼1032号,              +853-28828333,粤菜
新八佰伴美食广场,¥70,地址:商业大马路A区域1地段,              +853-28725338,小吃快餐
梓记牛什,¥36,地址:新马路营地街市综合大楼3楼3255号,              +853-28374091,小吃快餐
大利来记餐厅,¥52,地址:凼仔旧城区木铎街42号地下,              ,小吃快餐
葡国餐厅,¥457,地址:南湾葡京路2-4号葡京酒店西座3楼,              +853-88037676,西餐
芝士工坊(官也街),¥17,地址:氹仔地堡街喜来登广场地下K铺,              66308430,面包甜点
红8粥面(永利酒店),¥129,地址:外港填海区仙德麗街永利澳门酒店地面层,              +853-89863628,中餐
番茄屋葡式美食(大三巴店),¥92,地址:大炮台街喜運大廈地下3E,              +853-28362171,西餐
百勝廚(亞洲美食坊店),"
        -",地址:澳门银河™地下，G025,              +853-88832221,东南亚菜
一竜拉面(澳门),¥82,地址:卖草地草地围13C号荣丽大厦B座地下,              +853-28365309,日本料理
水佬荣饭店,¥216,地址:中国澳门氹仔飞能便度街657至677号华南工业大厦第六座BR/C地下B度,              +853-28234240,粤菜
Goobne Chicken贡乃烤鸡,¥105,地址:氹仔成都街至尊花城地下J2舖,              +853-28835999,韩国料理
荣记豆腐面食(果栏街店),¥22,地址:新马路果栏街47号地下,              28921152,小吃快餐
大龙凤茶楼,¥68,地址:十月初五街127号,              +853-28922459,茶餐厅
Blooom Coffee House,¥46,地址:雀仔圓柯高街5號,              +853-66664479,咖啡厅
Castiço,¥129,地址:澳门施督憲正街65号,              28576505,西餐
